	GCF_000261345.2:690	GCF_000932225.2:691	GCF_001905405.1:692	GCF_002154385.1:693	GCF_003147545.1:694	GCF_003263885.1:695	GCF_003263925.1:696	GCF_003353555.1:697	GCF_003989035.1:698	GCF_014649875.1:699
GCF_000261345.2:690	7783599	6872932	6753141	6141123	6866079	6871949	6864643	6799825	6583156	6602047
GCF_000932225.2:691	6872932	7691616	7194203	6555505	7666554	7713074	7624896	7286179	6628302	6606385
GCF_001905405.1:692	6753141	7194203	7769856	6802517	7186645	7191843	7184769	7548874	6651785	6593550
GCF_002154385.1:693	6141123	6555505	6802517	7237318	6549538	6558402	6540248	6912430	6050081	6016034
GCF_003147545.1:694	6866079	7666554	7186645	6549538	7666521	7666597	7620498	7279927	6627474	6607298
GCF_003263885.1:695	6871949	7713074	7191843	6558402	7666597	7682334	7631774	7284613	6628548	6608867
GCF_003263925.1:696	6864643	7624896	7184769	6540248	7620498	7631774	7624848	7281691	6623503	6604823
GCF_003353555.1:697	6799825	7286179	7548874	6912430	7279927	7284613	7281691	8099206	6677510	6628333
GCF_003989035.1:698	6583156	6628302	6651785	6050081	6627474	6628548	6623503	6677510	7677866	7216430
GCF_014649875.1:699	6602047	6606385	6593550	6016034	6607298	6608867	6604823	6628333	7216430	7548572
