	GCF_001278095.1:67	GCF_001751305.1:68	GCF_002804165.1:69	GCF_003352445.1:70	GCF_003949895.1:71	GCF_004000405.1:72	GCF_004334925.1:73	GCF_006788935.1:74	GCF_013363475.1:75	GCF_013363675.1:76	GCF_014649215.1:77	GCF_018619495.1:78	GCF_018619515.1:79	GCF_018619535.1:80	GCF_018619555.1:81	GCF_018619575.1:82	GCF_018619585.1:83	GCF_900091865.1:84
GCF_001278095.1:67	8307279	7421959	7046624	7022823	7119811	6576098	7414149	7012937	7012153	7018712	6975305	7619194	7199774	7531782	7632300	7019055	7390417	7518647
GCF_001751305.1:68	7421959	10271613	7141155	7194546	6712048	7077676	7244417	7160765	7157491	7167511	7148516	7409412	6970433	7293639	7406520	6804268	7175556	7275033
GCF_002804165.1:69	7046624	7141155	7600475	7375590	6652165	6531401	6965269	7374527	7303779	7353250	7335000	7099547	6696167	7003474	7117897	6547407	6929419	7005369
GCF_003352445.1:70	7022823	7194546	7375590	7613757	6638022	6550842	6970408	7427547	7395456	7453924	7386029	7098685	6680654	6998010	7119100	6539332	6920119	7020488
GCF_003949895.1:71	7119811	6712048	6652165	6638022	8327360	6195284	6939833	6635352	6630233	6647187	6628755	7134560	6756022	7043750	7132702	6559570	6904503	7040760
GCF_004000405.1:72	6576098	7077676	6531401	6550842	6195284	7626984	6486360	6533508	6552880	6566817	6530332	6604433	6233126	6529017	6606622	6051828	6448573	6567537
GCF_004334925.1:73	7414149	7244417	6965269	6970408	6939833	6486360	8102047	6950164	6937508	6946563	6901325	8031851	7599488	7916527	8104671	7403950	7739846	7370332
GCF_006788935.1:74	7012937	7160765	7374527	7427547	6635352	6533508	6950164	7670394	7302414	7396779	7669576	7080315	6662009	6986869	7102534	6521049	6907275	7020362
GCF_013363475.1:75	7012153	7157491	7303779	7395456	6630233	6552880	6937508	7302414	7726528	7373453	7296022	7051369	6642523	6963334	7049542	6490331	6872282	7039730
GCF_013363675.1:76	7018712	7167511	7353250	7453924	6647187	6566817	6946563	7396779	7373453	7654869	7412873	7073222	6680929	6975941	7068929	6503189	6890233	7053816
GCF_014649215.1:77	6975305	7148516	7335000	7386029	6628755	6530332	6901325	7669576	7296022	7412873	7625581	7035156	6617499	6946378	7028229	6470592	6849396	7012756
GCF_018619495.1:78	7619194	7409412	7099547	7098685	7134560	6604433	8031851	7080315	7051369	7073222	7035156	8176880	7880894	8169980	8350944	7662429	7983749	7533325
GCF_018619515.1:79	7199774	6970433	6696167	6680654	6756022	6233126	7599488	6662009	6642523	6680929	6617499	7880894	7871924	7681338	7817027	7222103	7504182	7113229
GCF_018619535.1:80	7531782	7293639	7003474	6998010	7043750	6529017	7916527	6986869	6963334	6975941	6946378	8169980	7681338	8180763	8145399	7499846	7777676	7423759
GCF_018619555.1:81	7632300	7406520	7117897	7119100	7132702	6606622	8104671	7102534	7049542	7068929	7028229	8350944	7817027	8145399	8202493	7630187	7932880	7534790
GCF_018619575.1:82	7019055	6804268	6547407	6539332	6559570	6051828	7403950	6521049	6490331	6503189	6470592	7662429	7222103	7499846	7630187	7696743	7261663	6930319
GCF_018619585.1:83	7390417	7175556	6929419	6920119	6904503	6448573	7739846	6907275	6872282	6890233	6849396	7983749	7504182	7777676	7932880	7261663	7837758	7289646
GCF_900091865.1:84	7518647	7275033	7005369	7020488	7040760	6567537	7370332	7020362	7039730	7053816	7012756	7533325	7113229	7423759	7534790	6930319	7289646	8061879
