	GCF_000331185.2:805	GCF_000707925.2:806	GCF_000717285.1:807	GCF_000718295.1:808	GCF_000718715.1:809	GCF_000718815.1:810	GCF_000721045.1:811	GCF_006229535.1:812	GCF_008704655.1:813	GCF_009862935.1:814
GCF_000331185.2:805	1.0	0.927469006	0.9989706437	0.9678672229	1.0064665808	0.9968253478	0.9989976038	1.0038954194	0.9737837145	0.9850556171
GCF_000707925.2:806	1.0028308716	1.0	0.9948855055	0.9659908595000001	1.0076461228	0.9971625134000001	1.0018885184	1.0026455403	0.9700265529000001	0.9876087
GCF_000717285.1:807	1.004592739	0.9252990640000001	1.0	0.9801154754	1.0078584597	1.0043781387	1.0123941597	1.0012466215	0.9715818276	0.9915880424000001
GCF_000718295.1:808	0.9887839723	0.9127048595	0.9956932733	1.0	0.9922902654	0.9903656655	0.9937291602	0.9892887455	0.9598094638	0.9821034877
GCF_000718715.1:809	1.016220575	0.9409539576	1.0119309089	0.9807125210000001	1.0	1.0118023403	1.0161708437	1.0139282232	0.9830273828	0.9989378438000001
GCF_000718815.1:810	1.0026171805	0.9275850133	1.0045603019	0.9750480305	1.0079131798	1.0	1.0032162513	1.0015585855	0.9716912937000001	0.9940953347
GCF_000721045.1:811	0.996999963	0.9247446036	1.0047153049	0.9707627297	1.0044048492	0.9954264699	1.0	0.9975599216000001	0.9683791542	0.9883398008000001
GCF_006229535.1:812	1.0023766623	0.9258947272	0.9941369796	0.9668963192000001	1.0026770194	0.9942663993	0.9980464882000001	1.0	0.9689797684	0.9875805806000001
GCF_008704655.1:813	1.0031951189	0.9242261157	0.995325149	0.9678817377000001	1.0029976005	0.9952567814000001	0.9996262213	0.9997585768	1.0	0.9861664491000001
GCF_009862935.1:814	0.9998312875	0.9270914769	1.0008291434	0.9757478183	1.004189816	1.0031778568	1.0051747263	1.0039129086	0.9716129418	1.0
