	GCF_000177195.2:110	GCF_000721935.1:111	GCF_009862475.1:112	GCF_009863165.1:113	GCF_009865425.1:114	GCF_009865465.1:115	GCF_016612755.1:116	GCF_900091715.1:117	GCF_900091875.1:118	GCF_900095575.1:119
GCF_000177195.2:110	1.0	0.918653194	0.9999093048000001	0.999944433	0.9961226246	1.0	0.9756405279	0.9999114374	0.9953902026	0.9999481889
GCF_000721935.1:111	0.918653194	1.0	0.9190388753000001	0.9188260808000001	0.9195555252000001	0.9186129447	0.9198700533	0.9190442287	0.9192189415	0.9188119613
GCF_009862475.1:112	0.9999093048000001	0.9190388753000001	1.0	0.9998921038	0.9961049867	0.9999093048000001	0.9758511324	1.0	0.9953899828	0.9998923933
GCF_009863165.1:113	0.999944433	0.9188260808000001	0.9998921038	1.0	0.9961249065000001	0.999944433	0.9757206552000001	0.9998946082000001	0.9954051063	1.0
GCF_009865425.1:114	0.9961226246	0.9195555252000001	0.9961049867	0.9961249065000001	1.0	0.9961142898	0.9761781456	0.9960809194	0.9959193059	0.9961104165
GCF_009865465.1:115	1.0	0.9186129447	0.9999093048000001	0.999944433	0.9961142898	1.0	0.9756405279	0.9999114374	0.9953902026	0.9999481889
GCF_016612755.1:116	0.9756405279	0.9198700533	0.9758511324	0.9757206552000001	0.9761781456	0.9756405279	1.0	0.9758819506	0.9761038430000001	0.9757627458
GCF_900091715.1:117	0.9999114374	0.9190442287	1.0	0.9998946082000001	0.9960809194	0.9999114374	0.9758819506	1.0	0.9953935012	0.9998948416000001
GCF_900091875.1:118	0.9953902026	0.9192189415	0.9953899828	0.9954051063	0.9959193059	0.9953902026	0.9761038430000001	0.9953935012	1.0	0.9954082309000001
GCF_900095575.1:119	0.9999481889	0.9188119613	0.9998923933	1.0	0.9961104165	0.9999481889	0.9757627458	0.9998948416000001	0.9954082309000001	1.0
