	GCF_000331185.2:805	GCF_000707925.2:806	GCF_000717285.1:807	GCF_000718295.1:808	GCF_000718715.1:809	GCF_000718815.1:810	GCF_000721045.1:811	GCF_006229535.1:812	GCF_008704655.1:813	GCF_009862935.1:814
GCF_000331185.2:805	1	530	757	945	1832	978	493	512	151	591
GCF_000707925.2:806	530	1	951	1197	1956	1214	898	727	1233	839
GCF_000717285.1:807	757	951	1	1741	1917	1912	1512	958	831	1041
GCF_000718295.1:808	945	1197	1741	1	2009	1844	1460	689	1339	1278
GCF_000718715.1:809	1832	1956	1917	2009	1	2032	2102	1840	1944	1993
GCF_000718815.1:810	978	1214	1912	1844	2032	1	1892	1191	948	1331
GCF_000721045.1:811	493	898	1512	1460	2102	1892	1	459	616	900
GCF_006229535.1:812	512	727	958	689	1840	1191	459	1	438	803
GCF_008704655.1:813	151	1233	831	1339	1944	948	616	438	1	648
GCF_009862935.1:814	591	839	1041	1278	1993	1331	900	803	648	1
