	GCF_000177195.2:110	GCF_000721935.1:111	GCF_009862475.1:112	GCF_009863165.1:113	GCF_009865425.1:114	GCF_009865465.1:115	GCF_016612755.1:116	GCF_900091715.1:117	GCF_900091875.1:118	GCF_900095575.1:119
GCF_000177195.2:110	1	413195	666	409	26864	0	163459	649	32322	381
GCF_000721935.1:111	413195	1	409659	411847	400924	413526	403774	408999	406320	411476
GCF_009862475.1:112	666	409659	1	792	26879	666	161297	0	32306	789
GCF_009863165.1:113	409	411847	792	1	26796	409	162629	772	32342	0
GCF_009865425.1:114	26864	400924	26879	26796	1	26910	156716	26988	28145	26864
GCF_009865465.1:115	0	413526	666	409	26910	1	163459	649	32322	381
GCF_016612755.1:116	163459	403774	161297	162629	156716	163459	1	160729	159332	162149
GCF_900091715.1:117	649	408999	0	772	26988	649	160729	1	32241	770
GCF_900091875.1:118	32322	406320	32306	32342	28145	32322	159332	32241	1	32162
GCF_900095575.1:119	381	411476	789	0	26864	381	162149	770	32162	1
