	GCF_000091305.1:662	GCF_000738695.1:663	GCF_000988945.1:664	GCF_001550215.1:665	GCF_001550225.1:666	GCF_001550235.1:667	GCF_001550325.1:668	GCF_001579685.1:669	GCF_002155735.1:670	GCF_003584815.1:671	GCF_017933115.1:672	GCF_017933235.1:673	GCF_017933255.1:674	GCF_017968905.1:675	GCF_017968935.1:676	GCF_017968965.1:677	GCF_017969005.1:678	GCF_017969025.1:679	GCF_017969045.1:680	GCF_017969075.1:681
GCF_000091305.1:662	10148695	6695761	6438353	9725415	9172283	9043232	6631387	8524323	6253364	9049820	9203861	9656279	9267147	9323729	9297319	9515141	9208153	9325332	9334287	9698359
GCF_000738695.1:663	6695761	10476708	7872724	6557591	6428685	6780445	8115914	5828896	7456363	6362408	6598963	6661727	6606996	6617062	6618131	6659701	6651790	6659062	6596325	6667762
GCF_000988945.1:664	6438353	7872724	9982072	6276751	6208530	6508525	9522432	5610408	7313578	6140329	6438514	6424119	6426453	6445510	6407758	6400834	6445703	6448633	6364842	6408810
GCF_001550215.1:665	9725415	6557591	6276751	9978746	9091977	8968011	6488463	8489552	6077544	8906930	8967790	9422965	9078674	9144129	9102403	9271715	8984328	9085269	9059350	9480807
GCF_001550225.1:666	9172283	6428685	6208530	9091977	10489082	8656772	6451872	8315018	5982288	9261178	8940465	9059706	8847197	8937261	8896795	9083785	8789952	8833254	8850699	9178184
GCF_001550235.1:667	9043232	6780445	6508525	8968011	8656772	11200310	6716130	8817461	6277586	8420246	8380867	9012192	8541461	8557280	8572627	8857389	8449439	8530627	8503831	9331003
GCF_001550325.1:668	6631387	8115914	9522432	6488463	6451872	6716130	10515639	5798851	7471829	6317791	6669698	6587087	6643753	6686049	6632846	6588766	6668436	6673789	6598348	6611292
GCF_001579685.1:669	8524323	5828896	5610408	8489552	8315018	8817461	5798851	9023059	5475715	8042043	7943582	8539705	8110825	8117720	8144801	8380678	8007383	8083445	8077867	8827296
GCF_002155735.1:670	6253364	7456363	7313578	6077544	5982288	6277586	7471829	5475715	10073597	5925699	6161269	6187616	6169257	6137283	6129156	6184298	6164948	6166816	6123575	6227758
GCF_003584815.1:671	9049820	6362408	6140329	8906930	9261178	8420246	6317791	8042043	5925699	9815031	8842105	8906848	8699957	8787347	8718092	8930390	8652147	8696374	8774143	8910229
GCF_017933115.1:672	9203861	6598963	6438514	8967790	8940465	8380867	6669698	7943582	6161269	8842105	9782455	9114297	9789998	9781960	9509072	9154647	9074074	9081999	9511878	9115920
GCF_017933235.1:673	9656279	6661727	6424119	9422965	9059706	9012192	6587087	8539705	6187616	8906848	9114297	9982980	9265395	9287079	9279671	9963881	9168656	9276356	9263190	9712114
GCF_017933255.1:674	9267147	6606996	6426453	9078674	8847197	8541461	6643753	8110825	6169257	8699957	9789998	9265395	9741971	9755942	9806128	9133968	9129978	9130144	9554784	9318838
GCF_017968905.1:675	9323729	6617062	6445510	9144129	8937261	8557280	6686049	8117720	6137283	8787347	9781960	9287079	9755942	9965204	9726970	9182164	9164971	9235762	9604041	9288436
GCF_017968935.1:676	9297319	6618131	6407758	9102403	8896795	8572627	6632846	8144801	6129156	8718092	9509072	9279671	9806128	9726970	9977688	9143391	9104030	9196287	9631367	9297051
GCF_017968965.1:677	9515141	6659701	6400834	9271715	9083785	8857389	6588766	8380678	6184298	8930390	9154647	9963881	9133968	9182164	9143391	10047105	9112272	9176777	9128721	9529430
GCF_017969005.1:678	9208153	6651790	6445703	8984328	8789952	8449439	6668436	8007383	6164948	8652147	9074074	9168656	9129978	9164971	9104030	9112272	9821301	9829346	9059431	9176123
GCF_017969025.1:679	9325332	6659062	6448633	9085269	8833254	8530627	6673789	8083445	6166816	8696374	9081999	9276356	9130144	9235762	9196287	9176777	9829346	9872570	9097161	9257862
GCF_017969045.1:680	9334287	6596325	6364842	9059350	8850699	8503831	6598348	8077867	6123575	8774143	9511878	9263190	9554784	9604041	9631367	9128721	9059431	9097161	9765892	9233653
GCF_017969075.1:681	9698359	6667762	6408810	9480807	9178184	9331003	6611292	8827296	6227758	8910229	9115920	9712114	9318838	9288436	9297051	9529430	9176123	9257862	9233653	10193546
