	GCF_001278095.1:67	GCF_001751305.1:68	GCF_002804165.1:69	GCF_003352445.1:70	GCF_003949895.1:71	GCF_004000405.1:72	GCF_004334925.1:73	GCF_006788935.1:74	GCF_013363475.1:75	GCF_013363675.1:76	GCF_014649215.1:77	GCF_018619495.1:78	GCF_018619515.1:79	GCF_018619535.1:80	GCF_018619555.1:81	GCF_018619575.1:82	GCF_018619585.1:83	GCF_900091865.1:84
GCF_001278095.1:67	1.0	0.8934284018	0.8482469410000001	0.8453818633	0.8570569256	0.7916067343000001	0.8924882624	0.8441918226	0.8440974476	0.8448869961000001	0.8396618195000001	0.917170833	0.8666825804	0.9066484947000001	0.9187484855	0.8449282852000001	0.8896314906	0.9050673512
GCF_001751305.1:68	0.7225699605	1.0	0.6952320926000001	0.7004300104000001	0.6534560833	0.6890520505000001	0.7052852361	0.6971412377	0.6968224952000001	0.6977979992000001	0.6959487278	0.7213484387	0.6786113340000001	0.7100772780000001	0.721066886	0.6624342253000001	0.6985812258	0.7082658780000001
GCF_002804165.1:69	0.9271294228	0.9395669350000001	1.0	0.9704117177	0.8752301665000001	0.8593411596	0.9164254866	0.970271858	0.9609634924	0.9674724277000001	0.965071262	0.9340925403	0.8810195415000001	0.9214521461	0.9365068631000001	0.8614470806000001	0.9117086761000001	0.9217014726
GCF_003352445.1:70	0.9223860178000001	0.9449403232	0.9687188598	1.0	0.8718457918	0.8603954657	0.9155017687	0.9755429547000001	0.9713280842	0.9790073416	0.9700899306	0.9323498241	0.8774451299	0.9191270486	0.9350311548	0.8588837285	0.908896751	0.9220793361
GCF_003949895.1:71	0.854990177	0.8060235177	0.7988324031	0.7971340257	1.0	0.7439673558000001	0.8333773249	0.7968133958	0.7961986752	0.7982346146	0.7960211880000001	0.8567613265	0.8113041828	0.8458563098	0.8565382066	0.7877130327	0.8291346837	0.8454972524000001
GCF_004000405.1:72	0.8622147365	0.9279783464	0.8563543597000001	0.8589033358	0.8122849084	1.0	0.8504488799000001	0.8566306157	0.859170545	0.8609978728000001	0.8562141995	0.8659298354	0.8172465027	0.8560417853000001	0.8662168427	0.7934759008000001	0.8454944969	0.8610922745
GCF_004334925.1:73	0.9150957776	0.8941465040000001	0.859692495	0.8603267791	0.8565530415	0.8005828650000001	1.0	0.8578281513	0.856266077	0.8573836957000001	0.8518001685000001	0.9913360167	0.9379713546	0.977102083	1.0003238688	0.91383696	0.9552951248	0.9096876382
GCF_006788935.1:74	0.9142864108000001	0.9335589541	0.9614274052	0.9683396968	0.865060126	0.8517825812	0.906102607	1.0	0.9520259324	0.9643284295000001	0.9998933562000001	0.923070575	0.8685354364000001	0.9108878892000001	0.9259672971	0.8501582839	0.900511108	0.9152544185
GCF_013363475.1:75	0.9075425599	0.9263528198000001	0.9452860327	0.9571512586	0.8581128548	0.8481015017	0.8978816876	0.9451093687000001	1.0	0.9543035371	0.9442820889	0.9126180608000001	0.8597034787000001	0.9012241980000001	0.9123816027	0.8400061451	0.8894398623	0.9111116921
GCF_013363675.1:76	0.9168951160000001	0.9363335937	0.9605977581	0.9737493875000001	0.8683606473000001	0.8578614474	0.9074698731	0.9662842042	0.9632369933	1.0	0.9683866569	0.9240160740000001	0.8727685608	0.9113076919	0.9234552544	0.8495493522	0.9001111580000001	0.9214809555000001
GCF_014649215.1:77	0.9147243994	0.9374388653	0.9618939200000001	0.9685857379	0.8692786818	0.8563717309000001	0.9050228435000001	1.0057693965	0.9567824406000001	0.9721059943	1.0	0.9225731128	0.8678025976	0.9109309835	0.921664723	0.8485375737	0.8982130017000001	0.9196356317000001
GCF_018619495.1:78	0.9317972136	0.9061417069000001	0.8682464461	0.8681410269000001	0.8725283971000001	0.8076959672	0.9822635284000001	0.8658944487	0.8623544677	0.865027003	0.8603716821	1.0	0.9638020859	0.9991561574000001	1.021287337	0.9370846827	0.9763808445000001	0.9212957754000001
