	GCF_000403665.1:123	GCF_000717845.1:124	GCF_000739105.1:125	GCF_000972395.1:126	GCF_003013745.1:127	GCF_003387455.1:128	GCF_003671755.1:129	GCF_004795155.1:130	GCF_008124975.1:131	GCF_008125035.1:132	GCF_008931305.1:133	GCF_009862445.1:134	GCF_013317105.1:135	GCF_018070145.1:136	GCF_900104935.1:137
GCF_000403665.1:123	1	50539	6707	7085	54195	49802	108160	55020	60923	61059	61497	61595	60067	49486	49712
GCF_000717845.1:124	50539	1	49136	48498	30010	49791	109174	52370	50938	51026	51259	51440	50163	49349	49638
GCF_000739105.1:125	6707	49136	1	1797	49017	47733	105256	53555	53489	53515	54007	54139	52412	47055	47596
GCF_000972395.1:126	7085	48498	1797	1	52081	46981	107856	52767	60189	60214	60366	60504	58804	46499	46826
GCF_003013745.1:127	54195	30010	49017	52081	1	49552	105935	52975	57333	57335	57271	57445	56052	49161	49540
GCF_003387455.1:128	49802	49791	47733	46981	49552	1	108108	54742	56135	56190	56641	56783	55507	50402	293
GCF_003671755.1:129	108160	109174	105256	107856	105935	108108	1	107172	108607	108694	108691	108659	107123	108993	108358
GCF_004795155.1:130	55020	52370	53555	52767	52975	54742	107172	1	49893	49949	50141	50286	48943	56738	53838
GCF_008124975.1:131	60923	50938	53489	60189	57333	56135	108607	49893	1	163	289	351	223	55890	56122
GCF_008125035.1:132	61059	51026	53515	60214	57335	56190	108694	49949	163	1	376	431	310	56019	56145
GCF_008931305.1:133	61497	51259	54007	60366	57271	56641	108691	50141	289	376	1	190	360	55987	56522
GCF_009862445.1:134	61595	51440	54139	60504	57445	56783	108659	50286	351	431	190	1	421	56169	56664
GCF_013317105.1:135	60067	50163	52412	58804	56052	55507	107123	48943	223	310	360	421	1	54876	55394
GCF_018070145.1:136	49486	49349	47055	46499	49161	50402	108993	56738	55890	56019	55987	56169	54876	1	50524
GCF_900104935.1:137	49712	49638	47596	46826	49540	293	108358	53838	56122	56145	56522	56664	55394	50524	1
