	GCF_001278095.1:67	GCF_001751305.1:68	GCF_002804165.1:69	GCF_003352445.1:70	GCF_003949895.1:71	GCF_004000405.1:72	GCF_004334925.1:73	GCF_006788935.1:74	GCF_013363475.1:75	GCF_013363675.1:76	GCF_014649215.1:77	GCF_018619495.1:78	GCF_018619515.1:79	GCF_018619535.1:80	GCF_018619555.1:81	GCF_018619575.1:82	GCF_018619585.1:83	GCF_900091865.1:84
GCF_001278095.1:67	1	242170	143879	143812	110077	250956	105548	144104	145438	143871	143133	108403	102880	106707	108617	98462	105117	124278
GCF_001751305.1:68	242170	1	231826	235173	204591	188094	236151	233881	234612	234476	232958	241442	227543	236790	241501	220769	231436	236577
GCF_002804165.1:69	143879	231826	1	47355	121953	250863	144174	47906	44131	43768	47598	146871	138974	144115	147165	135027	142831	140418
GCF_003352445.1:70	143812	235173	47355	1	121756	252529	143207	38856	42905	40933	38629	145829	137607	143296	146185	133748	141382	140617
GCF_003949895.1:71	110077	204591	121953	121756	1	221090	103117	121189	121745	121317	120852	106916	101568	105447	106873	98098	102382	99109
GCF_004000405.1:72	250956	188094	250863	252529	221090	1	249040	250260	251847	253190	250177	253387	238741	249495	253166	230189	245101	251657
GCF_004334925.1:73	105548	236151	144174	143207	103117	249040	1	143267	144206	143005	141970	1124	1243	1030	1298	1235	1428	122521
GCF_006788935.1:74	144104	233881	47906	38856	121189	250260	143267	1	43526	43429	587	146603	138244	144256	146963	134043	142240	140920
GCF_013363475.1:75	145438	234612	44131	42905	121745	251847	144206	43526	1	42323	43252	146851	138940	144312	146906	134703	142541	142926
GCF_013363675.1:76	143871	234476	43768	40933	121317	253190	143005	43429	42323	1	43333	146232	138433	143551	146058	133810	141335	141244
GCF_014649215.1:77	143133	232958	47598	38629	120852	250177	141970	587	43252	43333	1	145182	136853	142939	145053	132747	140455	140678
GCF_018619495.1:78	108403	241442	146871	145829	106916	253387	1124	146603	146851	146232	145182	1	1327	1084	1706	1256	1432	125414
GCF_018619515.1:79	102880	227543	138974	137607	101568	238741	1243	138244	138940	138433	136853	1327	1	1103	1467	1512	1434	118725
GCF_018619535.1:80	106707	236790	144115	143296	105447	249495	1030	144256	144312	143551	142939	1084	1103	1	1493	1215	1245	122811
GCF_018619555.1:81	108617	241501	147165	146185	106873	253166	1298	146963	146906	146058	145053	1706	1467	1493	1	1317	1778	125450
GCF_018619575.1:82	98462	220769	135027	133748	98098	230189	1235	134043	134703	133810	132747	1256	1512	1215	1317	1	1474	113904
GCF_018619585.1:83	105117	231436	142831	141382	102382	245101	1428	142240	142541	141335	140455	1432	1434	1245	1778	1474	1	120851
GCF_900091865.1:84	124278	236577	140418	140617	99109	251657	122521	140920	142926	141244	140678	125414	118725	122811	125450	113904	120851	1
