	GCF_000717925.1:518	GCF_000718935.1:519	GCF_000718955.1:520	GCF_000720115.1:521	GCF_000720795.1:522	GCF_000725725.1:523	GCF_000725805.1:524	GCF_001270565.1:525	GCF_001279625.1:526	GCF_001746425.1:527	GCF_002028385.1:528	GCF_002080455.1:529	GCF_003148825.1:530	GCF_008642275.1:531	GCF_014648615.1:532	GCF_016755855.1:533	GCF_016755875.1:534	GCF_016755895.1:535	GCF_017639205.1:536	GCF_018614075.1:537
GCF_000717925.1:518	1	520175	528832	542696	528840	566422	565468	120249	118449	517577	134349	132074	519238	486296	488597	488286	486870	564131	487232	485327
GCF_000718935.1:519	520175	1	389414	534529	389567	570206	570023	513120	510860	522901	514858	510978	386886	437689	443710	444227	438532	568339	443832	485371
GCF_000718955.1:520	528832	389414	1	530507	2219	561284	562091	521803	529152	518486	521765	515359	313989	448023	456728	456843	454328	560899	456526	490379
GCF_000720115.1:521	542696	534529	530507	1	530038	538163	539324	537690	538618	512595	546294	539647	525838	505311	521361	521293	516836	536929	519941	475458
GCF_000720795.1:522	528840	389567	2219	530038	1	561153	562132	521816	529649	517933	522467	515479	313845	449285	456914	457293	454900	560680	457037	490565
GCF_000725725.1:523	566422	570206	561284	538163	561153	1	39563	566731	566616	526734	571089	560655	555706	539219	556820	556723	550791	38090	556547	476512
GCF_000725805.1:524	565468	570023	562091	539324	562132	39563	1	567145	568117	529057	573811	563653	555237	542180	562030	561644	553701	2850	561178	477333
GCF_001270565.1:525	120249	513120	521803	537690	521816	566731	567145	1	122330	515706	132782	137655	514900	477795	484988	484886	482191	564514	482358	485714
GCF_001279625.1:526	118449	510860	529152	538618	529649	566616	568117	122330	1	513532	135284	110805	515245	484058	482343	482785	483536	565938	481595	478576
GCF_001746425.1:527	517577	522901	518486	512595	517933	526734	529057	515706	513532	1	520425	518915	521649	495878	516241	517946	517573	527175	516086	457734
GCF_002028385.1:528	134349	514858	521765	546294	522467	571089	573811	132782	135284	520425	1	145983	514378	487776	489391	489500	495054	570970	487369	484453
GCF_002080455.1:529	132074	510978	515359	539647	515479	560655	563653	137655	110805	518915	145983	1	510157	480261	482953	483374	484885	561287	480998	485117
GCF_003148825.1:530	519238	386886	313989	525838	313845	555706	555237	514900	515245	521649	514378	510157	1	453696	462857	462766	446871	553388	462392	486158
GCF_008642275.1:531	486296	437689	448023	505311	449285	539219	542180	477795	484058	495878	487776	480261	453696	1	418859	419538	442960	541610	419165	478801
GCF_014648615.1:532	488597	443710	456728	521361	456914	556820	562030	484988	482343	516241	489391	482953	462857	418859	1	531	430438	557919	485	480198
GCF_016755855.1:533	488286	444227	456843	521293	457293	556723	561644	484886	482785	517946	489500	483374	462766	419538	531	1	433672	559638	159	480803
GCF_016755875.1:534	486870	438532	454328	516836	454900	550791	553701	482191	483536	517573	495054	484885	446871	442960	430438	433672	1	552440	431493	480140
GCF_016755895.1:535	564131	568339	560899	536929	560680	38090	2850	564514	565938	527175	570970	561287	553388	541610	557919	559638	552440	1	558261	474196
GCF_017639205.1:536	487232	443832	456526	519941	457037	556547	561178	482358	481595	516086	487369	480998	462392	419165	485	159	431493	558261	1	480144
GCF_018614075.1:537	485327	485371	490379	475458	490565	476512	477333	485714	478576	457734	484453	485117	486158	478801	480198	480803	480140	474196	480144	1
