	GCF_000177195.2:110	GCF_000721935.1:111	GCF_009862475.1:112	GCF_009863165.1:113	GCF_009865425.1:114	GCF_009865465.1:115	GCF_016612755.1:116	GCF_900091715.1:117	GCF_900091875.1:118	GCF_900095575.1:119
GCF_000177195.2:110	7414440	5079425	7343278	7360490	6928398	7414440	6710285	7328146	7011588	7353635
GCF_000721935.1:111	5079425	7312232	5059947	5073637	4983860	5080980	5038990	5052129	5029892	5068185
GCF_009862475.1:112	7343278	5059947	7343669	7340387	6900875	7343278	6679278	7327645	7007783	7332254
GCF_009863165.1:113	7360490	5073637	7340387	7363280	6914930	7360490	6698245	7325046	7038683	7354500
GCF_009865425.1:114	6928398	4983860	6900875	6914930	7275639	6925375	6578665	6886309	6897111	6906652
GCF_009865465.1:115	7414440	5080980	7343278	7360490	6925375	7414440	6710285	7328146	7011588	7353635
GCF_016612755.1:116	6710285	5038990	6679278	6698245	6578665	6710285	7531345	6664262	6667683	6690073
GCF_900091715.1:117	7328146	5052129	7327645	7325046	6886309	7328146	6664262	7327645	6999025	7322290
GCF_900091875.1:118	7011588	5029892	7007783	7038683	6897111	7011588	6667683	6999025	7385971	7004272
GCF_900095575.1:119	7353635	5068185	7332254	7354500	6906652	7353635	6690073	7322290	7004272	7354500
