	GCF_000261345.2:690	GCF_000932225.2:691	GCF_001905405.1:692	GCF_002154385.1:693	GCF_003147545.1:694	GCF_003263885.1:695	GCF_003263925.1:696	GCF_003353555.1:697	GCF_003989035.1:698	GCF_014649875.1:699
GCF_000261345.2:690	1.0	0.9613140360000001	0.9604422594	0.9615252780000001	0.9613262533	0.9612770700000001	0.9612976232	0.9608134033	0.9656994305000001	0.9654401127000001
GCF_000932225.2:691	0.9613140360000001	1.0	0.9960682233	0.9943179053000001	0.9999604777000001	0.9999464546000001	0.9999752128	0.9948223891	0.9609821641	0.9605617898000001
GCF_001905405.1:692	0.9604422594	0.9960682233	1.0	0.9941900917000001	0.9960386244	0.9960293905000001	0.9960424615000001	0.9943779695	0.9610835287	0.9605723776
GCF_002154385.1:693	0.9615252780000001	0.9943179053000001	0.9941900917000001	1.0	0.9943487617000001	0.9942632367	0.9943433338000001	0.9953122129	0.9618980308	0.9615076976
GCF_003147545.1:694	0.9613262533	0.9999604777000001	0.9960386244	0.9943487617000001	1.0	0.9999304776000001	0.9999465914000001	0.9948039314	0.9609723101000001	0.9605536181000001
GCF_003263885.1:695	0.9612770700000001	0.9999464546000001	0.9960293905000001	0.9942632367	0.9999304776000001	1.0	0.999932519	0.9947814661000001	0.9609406163	0.9605233393
GCF_003263925.1:696	0.9612976232	0.9999752128	0.9960424615000001	0.9943433338000001	0.9999465914000001	0.999932519	1.0	0.9948370509000001	0.9610070381	0.9605489806
GCF_003353555.1:697	0.9608134033	0.9948223891	0.9943779695	0.9953122129	0.9948039314	0.9947814661000001	0.9948370509000001	1.0	0.9610781564	0.9606308253
GCF_003989035.1:698	0.9656994305000001	0.9609821641	0.9610835287	0.9618980308	0.9609723101000001	0.9609406163	0.9610070381	0.9610781564	1.0	0.9953345352
GCF_014649875.1:699	0.9654401127000001	0.9605617898000001	0.9605723776	0.9615076976	0.9605536181000001	0.9605233393	0.9605489806	0.9606308253	0.9953345352	1.0
