	GCF_000715745.1:381	GCF_000717965.1:382	GCF_000718915.1:383	GCF_001270675.1:384	GCF_002082175.1:385	GCF_013401535.1:386	GCF_014748265.1:387	GCF_016521585.1:388	GCF_016624005.1:389	GCF_016906185.1:390	GCF_016906205.1:391	GCF_016906225.1:392	GCF_016906245.1:393	GCF_016906265.1:394	GCF_017311125.1:395
GCF_000715745.1:381	8023053	7620080	7401486	7401032	7406108	6763390	7403244	6957536	6947203	7614778	7671440	7617871	7669939	7237829	7221145
GCF_000717965.1:382	7620080	7887122	7486897	7486103	7533555	6842834	7484535	7050246	7021562	8011839	8150567	7977359	8143129	7364224	7319443
GCF_000718915.1:383	7401486	7486897	8031299	8145540	7706666	6938515	7709323	7075785	7063609	7481712	7491051	7483653	7489727	7436263	7404459
GCF_001270675.1:384	7401032	7486103	8145540	8029206	7695141	6939500	7708493	7076367	7051775	7490974	7500373	7493408	7499075	7424261	7405551
GCF_002082175.1:385	7406108	7533555	7706666	7695141	7916045	6961444	7666915	7092735	7082645	7569657	7527464	7572508	7527416	7416895	7429814
GCF_013401535.1:386	6763390	6842834	6938515	6939500	6961444	7872196	6945574	7072366	7062235	6875070	6893210	6878925	6890428	6952227	6885547
GCF_014748265.1:387	7403244	7484535	7709323	7708493	7666915	6945574	8006505	7070088	7060655	7535259	7559710	7540315	7558147	7414127	7422970
GCF_016521585.1:388	6957536	7050246	7075785	7076367	7092735	7072366	7070088	7881218	7962966	7080139	7089582	7083337	7089582	7012917	6991915
GCF_016624005.1:389	6947203	7021562	7063609	7051775	7082645	7062235	7060655	7962966	7876943	7093216	7102764	7096629	7102762	7043962	6989559
GCF_016906185.1:390	7614778	8011839	7481712	7490974	7569657	6875070	7535259	7080139	7093216	8031696	8465840	8247396	8460078	7416970	7378702
GCF_016906205.1:391	7671440	8150567	7491051	7500373	7527464	6893210	7559710	7089582	7102764	8465840	8082614	8382229	8086844	7431482	7391942
GCF_016906225.1:392	7617871	7977359	7483653	7493408	7572508	6878925	7540315	7083337	7096629	8247396	8382229	8053224	8442532	7428021	7383452
GCF_016906245.1:393	7669939	8143129	7489727	7499075	7527416	6890428	7558147	7089582	7102762	8460078	8086844	8442532	8084048	7430653	7400793
GCF_016906265.1:394	7237829	7364224	7436263	7424261	7416895	6952227	7414127	7012917	7043962	7416970	7431482	7428021	7430653	8221537	7529373
GCF_017311125.1:395	7221145	7319443	7404459	7405551	7429814	6885547	7422970	6991915	6989559	7378702	7391942	7383452	7400793	7529373	7958870
