	GCF_000698495.1:758	GCF_000721185.1:759	GCF_002705695.1:760	GCF_002910775.2:761	GCF_009862465.1:762	GCF_009863235.1:763	GCF_009865365.1:764	GCF_900090065.1:765	GCF_900091745.1:766	GCF_900091765.1:767
GCF_000698495.1:758	1	94347	91879	244218	118612	91879	92382	91879	91310	118364
GCF_000721185.1:759	94347	1	53558	246554	109450	53558	55259	53558	54554	109132
GCF_002705695.1:760	91879	53558	1	248620	111089	0	48625	0	48001	110858
GCF_002910775.2:761	244218	246554	248620	1	240637	248644	248077	248644	246491	240121
GCF_009862465.1:762	118612	109450	111089	240637	1	110908	109829	110908	109255	0
GCF_009863235.1:763	91879	53558	0	248644	110908	1	48625	0	48001	110858
GCF_009865365.1:764	92382	55259	48625	248077	109829	48625	1	48708	415	109599
GCF_900090065.1:765	91879	53558	0	248644	110908	0	48708	1	48001	110858
GCF_900091745.1:766	91310	54554	48001	246491	109255	48001	415	48001	1	109424
GCF_900091765.1:767	118364	109132	110858	240121	0	110858	109599	110858	109424	1
