	GCF_000698495.1:758	GCF_000721185.1:759	GCF_002705695.1:760	GCF_002910775.2:761	GCF_009862465.1:762	GCF_009863235.1:763	GCF_009865365.1:764	GCF_900090065.1:765	GCF_900091745.1:766	GCF_900091765.1:767
GCF_000698495.1:758	1.0	0.8849114846	0.8908970900000001	0.854191502	0.8643027721000001	0.8908970900000001	0.8888370112	0.8908970900000001	0.8876989107000001	0.8629087904
GCF_000721185.1:759	0.8740310332000001	1.0	0.9138656530000001	0.8552603177	0.8699850177	0.9138656530000001	0.9151075703	0.9138656530000001	0.9132190228	0.8682938821
GCF_002705695.1:760	0.8953394758000001	0.9298556329000001	1.0	0.8712177315	0.8854751710000001	0.9999865009000001	0.9416278951	0.9999865009000001	0.9393245501	0.8839922991
GCF_002910775.2:761	0.8255484823	0.8368712293	0.8378260315	1.0	0.821070713	0.8380356856000001	0.839649178	0.8380356856000001	0.8385406728	0.8196494792
GCF_009862465.1:762	0.903302636	0.9205600503	0.9208387082	0.8878929269	1.0	0.9198386283000001	0.916821964	0.9198386283000001	0.9171789549	0.9964522714
GCF_009863235.1:763	0.8953394758000001	0.9298556329000001	0.9999865009000001	0.8714357414	0.8845134978	1.0	0.9416278951	0.9999865009000001	0.9393245501	0.8839922991
GCF_009865365.1:764	0.9070322099	0.9454655435	0.9561360704	0.886566077	0.8951961726000001	0.9561360704	1.0	0.9602140548	1.0007274331	0.8946611864
GCF_900090065.1:765	0.8953394758000001	0.9298556329000001	0.9999865009000001	0.8714357414	0.8845134978	0.9999865009000001	0.9456440011	1.0	0.9393245501	0.8839922991
GCF_900091745.1:766	0.9086612443000001	0.9464207343000001	0.9567353012	0.8881229933	0.8983033673	0.9567353012	1.0038100609	0.9567353012	1.0	0.8990500903
GCF_900091765.1:767	0.9050566492000001	0.9220417576000001	0.9225696409	0.8895117734	1.0	0.9225696409	0.9195363192	0.9225696409	0.92120957	1.0
