	GCF_000698495.1:758	GCF_000721185.1:759	GCF_002705695.1:760	GCF_002910775.2:761	GCF_009862465.1:762	GCF_009863235.1:763	GCF_009865365.1:764	GCF_900090065.1:765	GCF_900091745.1:766	GCF_900091765.1:767
GCF_000698495.1:758	7444861	6682390	6724484	6603555	6553226	6724484	6709650	6724484	6700105	6542600
GCF_000721185.1:759	6682390	7537539	6941856	6693112	6666996	6941856	6952918	6941856	6937978	6653931
GCF_002705695.1:760	6724484	6941856	7407922	6702533	6670620	7407822	7024131	7407822	7006444	6659404
GCF_002910775.2:761	6603555	6693112	6702533	7703166	6565481	6704172	6716034	6704172	6705909	6554017
GCF_009862465.1:762	6553226	6666996	6670620	6565481	7123431	6663315	6640747	6663315	6642716	7098159
GCF_009863235.1:763	6724484	6941856	7407822	6704172	6663315	7407922	7024131	7407822	7006444	6659404
GCF_009865365.1:764	6709650	6952918	7024131	6716034	6640747	7024131	7295516	7053965	7301238	6636614
GCF_900090065.1:765	6724484	6941856	7407822	6704172	6663315	7407822	7053965	7407922	7006444	6659404
GCF_900091745.1:766	6700105	6937978	7006444	6705909	6642716	7006444	7301238	7006444	7273112	6648316
GCF_900091765.1:767	6542600	6653931	6659404	6554017	7098159	6659404	6636614	6659404	6648316	7098159
