	GCF_000177195.2:110	GCF_000721935.1:111	GCF_009862475.1:112	GCF_009863165.1:113	GCF_009865425.1:114	GCF_009865465.1:115	GCF_016612755.1:116	GCF_900091715.1:117	GCF_900091875.1:118	GCF_900095575.1:119
GCF_000177195.2:110	1.0	0.6850719677	0.9904022421	0.9927236582000001	0.9344465664	1.0	0.9050292402000001	0.9883613597	0.9456665642000001	0.9917991109000001
GCF_000721935.1:111	0.6946476808000001	1.0	0.691983925	0.6938561304	0.6815784838000001	0.6948603381	0.6891179054000001	0.6909147576	0.6878736889	0.6931105304
GCF_009862475.1:112	0.9999467569	0.6890216593	1.0	0.9995530844	0.9397039818	0.9999467569	0.9095287383	0.9978179844	0.9542618274	0.9984455999
GCF_009863165.1:113	0.9996210928	0.6890457785	0.9968909236000001	1.0	0.9391100162	0.9996210928	0.909682234	0.9948074771000001	0.9559167925000001	0.9988075966000001
GCF_009865425.1:114	0.9522734704	0.6850064991	0.9484905724	0.9504223615	1.0	0.9518579743000001	0.904204428	0.946488549	0.9479732296000001	0.949284592
GCF_009865465.1:115	1.0	0.6852816936	0.9904022421	0.9927236582000001	0.9340388485000001	1.0	0.9050292402000001	0.9883613597	0.9456665642000001	0.9917991109000001
GCF_016612755.1:116	0.8909809602000001	0.6690690707	0.8868639001	0.8893823082000001	0.8735046662	0.8909809602000001	1.0	0.8848700996000001	0.8853243345	0.8882972431
GCF_900091715.1:117	1.0000683712	0.6894614846	1.0	0.9996453158	0.9397710997000001	1.0000683712	0.9094684581	1.0	0.9551533951000001	0.9992692059
GCF_900091875.1:118	0.9493116071000001	0.6810061940000001	0.9487964413000001	0.9529800483	0.9338123586	0.9493116071000001	0.9027496859	0.9476106798	1.0	0.9483210806000001
GCF_900095575.1:119	0.9998823849	0.6891270651	0.9969751853000001	1.0	0.9391055816	0.9998823849	0.9096570807000001	0.9956203685	0.9523790876	1.0
